epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
60,5786.33,0.86403,0.79047,1.24189,0.93161,0.88222,0.93385,0.78896,0.61086,0.47848,1.04913,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,5881.88,0.86536,0.7983,1.24138,0.91975,0.88362,0.93364,0.78777,0.61049,0.48251,1.04715,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,5977.46,0.85134,0.78627,1.232,0.93044,0.88378,0.9352,0.79178,0.60349,0.47377,1.04137,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,6073.02,0.84856,0.77951,1.2327,0.93316,0.88234,0.93526,0.7942,0.60241,0.47004,1.04008,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,6168.58,0.84985,0.77672,1.23438,0.92686,0.88275,0.93569,0.79613,0.60004,0.46942,1.03676,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,6264.36,0.83875,0.7743,1.2287,0.92659,0.88435,0.93521,0.79287,0.60283,0.47224,1.0378,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,6359.94,0.83879,0.76841,1.22532,0.93224,0.88327,0.93585,0.79495,0.59881,0.46954,1.03845,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,6455.52,0.83618,0.76233,1.22939,0.92853,0.88694,0.93623,0.79567,0.59442,0.46547,1.03554,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,6551.01,0.82905,0.76083,1.22204,0.93335,0.88106,0.9365,0.79814,0.59139,0.46131,1.03089,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,6646.56,0.83279,0.75821,1.2271,0.92787,0.8898,0.93655,0.79949,0.58839,0.4579,1.02995,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,6744.38,0.82303,0.74705,1.21693,0.94118,0.88072,0.93764,0.80039,0.58983,0.45385,1.03071,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,6842.16,0.82188,0.7407,1.21674,0.93523,0.88298,0.93789,0.80071,0.58844,0.45529,1.02868,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,6937.76,0.82511,0.74094,1.21892,0.9353,0.88483,0.93869,0.80151,0.58995,0.45408,1.03063,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,7033.61,0.81425,0.72971,1.20651,0.94131,0.87921,0.93912,0.80148,0.5913,0.45108,1.03115,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,7129.52,0.8121,0.73425,1.21147,0.93172,0.88953,0.93784,0.80026,0.59189,0.45345,1.03109,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,7225.32,0.80978,0.73216,1.21259,0.93378,0.88674,0.93712,0.80139,0.58973,0.45496,1.0299,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,7320.71,0.80544,0.7093,1.20373,0.93591,0.88648,0.93724,0.80208,0.5894,0.45084,1.03036,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
